"selected","oracle cloud infrastructure foundations associate","aws certified cloud practitioner","aws certified solutions architect - associate1","aws cloud practitioner","mta security fundamentals","mta python","google cloud certified associate cloud engineer","mta java","microsoft azure fundamentals","junipernetworksjnciajunosjn0103certifiedassociate","mta49","thub","owl coder","hero vired","both","photoshop","unreal engine","react js","bootstrap","cloud","python","java script","express js","c++","sql","maya","blender","css","c#","c","company_id"
"ashvaallterrain","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","134"
"epirocminingindia","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","135"
"inscriptaai","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","136"
"mearsk","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","137"
"accenture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","138"
"technicalhub","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","139"
"sidsfarm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","1","0","1","0","0","1","0","140"
"aloha","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","141"
"hp","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","142"
"tcs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","143"
